# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    3273    -0.00552703    -0.00552703              0              0
    6380    3274    -0.00548482    -0.00548482              0              0
    6380    3275    -0.00544455    -0.00544455              0              0
    6380    3276    -0.00540619    -0.00540619              0              0
    6380    3277     -0.0053697     -0.0053697              0              0
    6380    3278    -0.00533506    -0.00533506              0              0
    6380    3279    -0.00530222    -0.00530222              0              0
    6380    3280    -0.00527117    -0.00527117              0              0
    6380    3281    -0.00524187    -0.00524187              0              0
    6380    3282    -0.00521429    -0.00521429              0              0
    6380    3283    -0.00518842    -0.00518842              0              0
    6380    3284    -0.00516421    -0.00516421              0              0
    6380    3285    -0.00514166    -0.00514166              0              0
    6380    3286    -0.00512073    -0.00512073              0              0
    6380    3287     -0.0051014     -0.0051014              0              0
    6380    3288    -0.00508365    -0.00508365              0              0
    6380    3289    -0.00506747    -0.00506747              0              0
    6380    3290    -0.00505282    -0.00505282              0              0
    6380    3291     -0.0050397     -0.0050397              0              0
    6380    3292    -0.00502808    -0.00502808              0              0
    6380    3293    -0.00501795    -0.00501795              0              0
    6380    3294    -0.00500929    -0.00500929              0              0
    6380    3295    -0.00500209    -0.00500209              0              0
    6380    3296    -0.00499632    -0.00499632              0              0
    6380    3297    -0.00499198    -0.00499198              0              0
    6380    3298    -0.00498904    -0.00498904              0              0
    6380    3299    -0.00498751    -0.00498751              0              0
    6380    3300    -0.00498736    -0.00498736              0              0
    6380    3301    -0.00498858    -0.00498858              0              0
    6380    3302    -0.00499116    -0.00499116              0              0
    6380    3303    -0.00499509    -0.00499509              0              0
    6380    3304    -0.00500036    -0.00500036              0              0
    6380    3305    -0.00500696    -0.00500696              0              0
    6380    3306    -0.00501488    -0.00501488              0              0
    6380    3307    -0.00502411    -0.00502411              0              0
    6380    3308    -0.00503463    -0.00503463              0              0
    6380    3309    -0.00504645    -0.00504645              0              0
    6380    3310    -0.00505956    -0.00505956              0              0
    6380    3311    -0.00507394    -0.00507394              0              0
    6380    3312     -0.0050896     -0.0050896              0              0
    6380    3313    -0.00510652    -0.00510652              0              0
    6380    3314    -0.00512469    -0.00512469              0              0
    6380    3315    -0.00514412    -0.00514412              0              0
    6380    3316     -0.0051648     -0.0051648              0              0
    6380    3317    -0.00518672    -0.00518672              0              0
    6380    3318    -0.00520987    -0.00520987              0              0
    6380    3319    -0.00523427    -0.00523427              0              0
    6380    3320    -0.00525989    -0.00525989              0              0
    6380    3321    -0.00528674    -0.00528674              0              0
    6380    3322    -0.00531482    -0.00531482              0              0
    6380    3323    -0.00534412    -0.00534412              0              0
    6380    3324    -0.00537465    -0.00537465              0              0
    6380    3325     -0.0054064     -0.0054064              0              0
    6380    3326    -0.00543937    -0.00543937              0              0
    6380    3327    -0.00547357    -0.00547357              0              0
    6380    3328    -0.00550899    -0.00550899              0              0
    6380    3329    -0.00554564    -0.00554564              0              0
    6380    3330    -0.00558353    -0.00558353              0              0
    6380    3331    -0.00562264    -0.00562264              0              0
    6380    3332      -0.005663      -0.005663              0              0
    6380    3333    -0.00570459    -0.00570459              0              0
    6380    3334    -0.00574744    -0.00574744              0              0
    6380    3335    -0.00579154    -0.00579154              0              0
    6380    3336    -0.00583691    -0.00583691              0              0
    6380    3337    -0.00588355    -0.00588355              0              0
    6380    3338    -0.00593148    -0.00593148              0              0
    6380    3339    -0.00598069    -0.00598069              0              0
    6380    3340    -0.00603122    -0.00603122              0              0
    6380    3341    -0.00608306    -0.00608306              0              0
    6380    3342    -0.00613623    -0.00613623              0              0
    6380    3343    -0.00619076    -0.00619076              0              0
    6380    3344    -0.00624664    -0.00624664              0              0
    6380    3345    -0.00630391    -0.00630391              0              0
    6380    3346    -0.00636258    -0.00636258              0              0
    6380    3347    -0.00642268    -0.00642268              0              0
    6380    3348    -0.00648422    -0.00648422              0              0
